Question,Answer
Which method can be used to remove the permanent hardness in water due to calcium or magnesium sulphates?,Zeolite method can be used to remove the permanent hardness in water due to calcium or magnesium sulphates.
Which gas is a Noble Gas?,Helium is a noble gas.
What is responsible for depletion of ozone?,Chlorofluoro carbon is responsible for depletion of ozone.
Which element is an essential constituent of acids?,Hydrogen is an essential constituent of acids.
Who was the first person to design models of flying machine?,Leonardo Da Vinci was the first person to design models of flying machines.
When does the value of energy become zero for an electron?,The value of energy becomes zero far away from the nucleus.
Who invented Archimedean screw?,Archimedes invented the Archimedean screw.
What is the potential energy of an electron when it is far away from the nucleus?,The potential energy of an electron when it is far away from the nucleus is zero.
What is a nucleus?,A nucleus is a membrane-bound organelle that contains the cells chromosomes.
Which of the following is a large blood vessel that carries blood away from the heart?,The pulmonary artery carries blood from the right side of the heart to the lungs to pick up a fresh supply of oxygen.
Which of the following is not a member of the vitamin B complex?,"Vitamin B complex consists of 8 vitamins namely B1, B2, B3, B5, B6, B7, B9 and B12. Vitamin B1 is Thiamine, Vit B2 is Riboflavin, Vit B3 is Niacin, Vit B5 is pantothenic acid, Vit B6 is pyridoxine, biotin, folic acid, and Vit B12 is cyanocobalamin."
What is an air-borne disease?,"Airborne diseases are the infections spread by airborne transmissions including Chickenpox, Anthrax, Influenza, Measles, Smallpox, Cryptococcosis and Tuberculosis."
Which organ of the body produces the fluid known as bile?,"Liver produces a digestive fluid known as bile. Liver releases Bile into Gall Bladder, a small, pear-shaped organ located just below your liver in the upper right side of your abdomen."
What is the purpose of hydroscope?,Hydroscope is an optical device for enabling a person to see an object at a considerable distance below the surface of the water by means or a series of mirrors enclosed in a steel tube.
What is the unit of the physical quantity Inductance?, Unit of the physical quantity Inductance is Henry.
How is blood pressure measured in humans?,Sphygmomanometer is used to measure the blood pressure in humans.
Which device is used to measure wind speed?,Anemometer is used to measure wind speed.
Why is Thermometer used?,Thermometer is used to measure body temperature.
Which receptors are used to detect taste?,Gustatory receptors detect taste.
